id,name
50,""
112,""
115,""
137,"Mighty"
138,"Precise"
139,"Vital"
140,"Resilient"
141,"Lingering"
142,"Strong"
144,"Ravaging"
145,"Rejuvenating"
146,"Vigorous"
147,"Mending"
148,"Stout"
149,"Hearty"
150,"Potent"
151,"Penetrating"
152,"Honed"
153,"Shaman's"
154,"Rabid"
155,"Cleric's"
156,"Magi's"
157,"Valkyrie"
158,"Knight's"
159,"Rampager's"
160,"Carrion"
161,"Berserker's"
162,"Soldier's"
175,"Healing"
176,"Malign"
520,""
559,"Celestial"
575,""
581,"Dire and Rabid"
583,"Cavalier's"
584,"Berserker's"
585,"Rabid"
586,"Soldier's"
588,"Celestial"
591,"Berserker's and Valkyrie"
592,"Rabid and Apothecary's"
593,"Celestial"
594,"Rabid"
595,"Rabid and Apothecary's"
596,"Dire and Rabid"
599,"Berserker's"
600,"Berserker's and Valkyrie"
601,"Soldier's"
602,"Cavalier's"
605,"Apothecary's"
616,"Cavalier's"
625,""
626,""
627,"Giver's"
628,"Giver's"
629,"Giver's"
630,"Giver's"
631,"Giver's"
636,""
656,"Cleric's"
657,"Knight's"
658,"Rampager's"
659,"Apothecary's"
660,"Captain's"
661,"Cleric's"
662,"Knight's"
663,"Rampager's"
664,"Apothecary's"
665,"Captain's"
686,"Sentinel's"
689,""
690,"Settler's"
693,"Settler's"
700,"Settler's"
740,""
753,"Assassin's"
754,"Dire"
755,"Hunter's"
756,"Dire"
799,"Zealot's"
800,""
1011,"Forsaken"
1012,"Apostate's"
1013,"Survivor's"
1014,"Deserter's"
1015,"Vagabond's"
1026,"Nomad's"
1030,"Giver's"
1031,"Giver's"
1032,"Bringer's"
1035,"Sentinel's"
1037,"Magi's"
1038,"Carrion"
1040,"Assassin's"
1041,"Captain's"
1042,"Rabid"
1043,"Apothecary's"
1044,"Cleric's"
1046,"Berserker's"
1047,"Rampager's"
1048,"Soldier's"
1050,"Cavalier's"
1051,"Knight's"
1052,"Celestial"
1063,"Nomad's"
1064,"Sinister"
1065,"Sinister"
1066,"Nomad's"
1067,"Sinister"
1070,"Giver's"
1071,"Shaman's"
1073,"Dire"
1075,"Carrion"
1076,"Cleric's"
1077,"Berserker's"
1078,"Rampager's"
1085,"Trailblazer's"
1097,"Shaman's"
1098,"Crusader"
1109,"Crusader"
1111,"Marauder"
1114,"Dire"
1115,"Trailblazer's"
1118,"Vigilant"
1119,"Valkyrie"
1123,"Minstrel's"
1125,"Commander's"
1128,"Assassin's"
1130,"Viper's"
1131,"Commander's"
1134,"Minstrel's"
1139,"Vigilant"
1140,"Wanderer's"
1145,"Marauder"
1153,"Viper's"
1162,"Wanderer's"
1163,"Zealot's"
1220,"Seraph"
1222,"Seraph"
1224,"Viper's"
1225,"Wanderer's"
1226,"Minstrel's"
1227,"Commander's"
1228,"Vigilant"
1229,"Trailblazer's"
1230,"Seraph"
1231,"Marauder"
1232,"Crusader"
1262,"Trailblazer's"
1263,"Marauder"
1264,"Vigilant"
1265,"Minstrel's"
1267,"Commander's"
1268,"Viper's"
1269,"Seraph"
1270,"Wanderer's"
1271,"Crusader"
1329,"Grieving"
1337,"Marshal's"
1344,"Grieving"
1345,"Harrier's"
1363,"Harrier's"
1364,"Marshal's"
1366,"Grieving"
1367,"Harrier's"
1374,"Marshal's"
1377,"Harrier's"
1378,"Marshal's"
1379,"Grieving"
1419,""
1430,"Giver's"
1436,"Bringer's"
1484,"Plaguedoctor's"
1486,"Plaguedoctor's"
1538,"Diviner's"
1539,"Diviner's"
1548,""
1549,"Plaguedoctor's"
1556,"Diviner's"
1559,"Plaguedoctor's"
1566,"Diviner's"
1681,"Dragon's"
1686,"Ritualist's"
1687,"Dragon's"
1691,"Dragon's"
1694,"Ritualist's"
1697,"Dragon's"
1706,"Ritualist's"
1717,"Ritualist's"
